ID_Categoria,Descripcion
E0941,"SUBDIRECTOR SECRETARIO DE ESCUELA TECNOLOGICA, FORANEO."
E0942,SUBDIRECTOR SECRETARIO DE ESCUELA VOCACIONAL EN EL DISTRITO
E0943,"SUBDIRECTOR SECRETARIO DE ESCUELA VOCACIO NAL, FORANEO"
E0945,"SUBDIRECTOR SECRETARIO DE ESCUELA TECNICA SUPERIOR, FORANEO."
E0960,"PROFESOR DE ADIESTRAMIENTO DE ENSEÑANZA TECNOLOGICA, VOCACIO"
E0961,PROFESOR DE ADIESTRAMIENTO DE ENSEÑANZA TECNOLOGICA VOCACION
E0962,"PROFESOR DE ENSEÑANZA TECNOLOGICA, EN EL DISTRITO FEDERAL"
E0963,"PROFESOR DE ENSEÑANZA TECNOLOGICA, FOR.EO."
E0965,PROFESOR INSTRUCTOR DE CAPACITACION PARA Y EN EL TRABAJO
E0968,"PROFESOR DE ENSEÑANZA VOCACIONAL, EN EL DISTRITO FEDERAL"
E0969,"PROFESOR DE ENSEÑANZA VOCACIONAL, FOR.EO"
E0970,"PROFESOR ORIENTADOR PROFESIONAL DE ENSEÑANZA TECNOLOGICA, VO"
E0971,"PROFESOR ORIENTADOR PROFESIONAL DE ENSEÑANZA TECNOLOGICA, VO"
E0972,"PROFESOR DE ENSEÑANZA TECNICA SUPERIOR, EN EL DISTRITO FEDER"
E0973,"PROFESOR DE ENSEÑANZA TECNICA SUPERIOR, FORANEO"
E0974,"PROFESOR PARA CURSOS DE POSTGRADUADOS, EN EL DISTRITO FEDERA"
E0975,"PROFESOR PARA CURSOS DE POSTGRADUADOS, FORANEO."
E0984,"PROFESOR DE CLASES EXPERIMENTALES DE ENSEÑANZA TECNOLOGICA,"
E0985,"PROFESOR DE CLASES EXPERIMENTALES DE ENSEÑANZA TECNOLOGICA,"
E0992,HORAS DE INSTRUCTOR DE CAPACITACION PARA Y EN EL TRABAJO PA
E1000,INSPECTOR DE ENSEÑANZAS MUSICALES EN EL DISTRITO FEDERAL
E1002,INSPECTOR DE ENSEÑANZAS ARTISTICAS EN EL DISTRITO FEDERAL
E1020,DIRECTOR DE ESCUELA DE DANZA EN EL DISTRITO FEDERAL.
E1022,DIRECTOR DE ENSEÑANZAS ARTISTICAS EN EL DISTRITO FEDERAL
E1024,DIRECTOR DE ESCUELA DE ENSEÑANZAS ARTISTICAS EN EL DISTRITO
E1025,"DIRECTOR DE ESCUELA DE ENSEÑANZAS ARTISTICAS, FORANEO."
E1026,"DIRECTOR DE ESCUELA NOCTURNA DE ENSEÑANZAS ARTISTICAS, EN EL"
E1028,DIRECTOR DE ESCUELA NOCTURNA DE MUSICA EN EL DISTRITO FEDERA
E1030,DIRECTOR DE SECUNDARIA DIURNA DE MUSICA EN EL DISTRITO FEDER
E1032,DIRECTOR DE ESCUELA DE ENSEÑANZAS ARTISTICAS EN EL DISTRITO
E1034,DIRECTOR DEL CONSERVATORIO NACIONAL DE MUSICA EN EL DISTRITO
E1040,SUBDIRECTOR SECRETARIO DE SECUNDARIA DIURNA DE MUSICA EN EL
E1042,SUBDIRECTOR SECRETARIO DE ESCUELA DE ENSEÑANZAS ARTISTICAS E
E1044,SUBDIRECTOR SECRETARIO DE ESCUELA PROFESIONAL DE MUSICA EN E
E1046,SUBDIRECTOR SECRETARIO DE ESCUELA NOCTURNA DE ENSEÑANZAS ART
E1048,SUBDIRECTOR SECRETARIO DE ESCUELA NOCTURNA DE MUSICA EN EL D
E1050,JEFE DE ENSEÑANZA DE MUSICA EN EL DISTRITO FEDERAL.
E1062,"PROFESOR DE ENSEÑANZAS ARTISTICAS PARA POSTPRIMARIAS, EN EL"
E1063,"PROFESOR DE ENSEÑANZAS ARTISTICAS PARA POSTPRIMARIAS, FOR.E"
E1064,"PROFESOR DE ENSEÑANZAS ARTISTICAS ELEMENTALES, EN EL DISTRIT"
E1065,"PROFESOR DE ENSEÑANZAS ARTISTICAS ELEMENTALES, FOR.EO."
E1066,"PROFESOR DE ENSEÑANZAS ARTISTICAS PARA POSTPRIMARIAS, EN EL"
E1067,"PROFESOR DE ENSEÑANZAS ARTISTICAS PARA POSTPRIMARIAS, FORANEO"
E1068,PROFESOR DE ENSEÑANZAS ARTISTICAS VOCACIONALES O PRPOFESIONA
E1069,PROFESOR DE ENSEÑANZAS ARTISTICAS VOCACIONALES O PROFESIONAL
E1072,PROFESOR DE ENSEÑANZAS ARTISTICAS VOCACIONALES O PROFESIONAL
E1073,PROFESOR DE ENSEÑANZAS ARTISTICAS VOCACIONALES O PROFESIONAL
E1090,HORAS DE ENSEÑANZAS ARTISTICAS Y MUSICALES ELEMENTALES PARA
E1092,HORAS DE ENSEÑANZAS ARTISTICAS Y MUSICALES DE POSTPRIMARIAS
E1120,"DIRECTOR DE ESCUELA POR CORRESPONDENCIA, O NORMAL ORAL EN EL"
E1150,JEFE DE ENSEÑANZA EN EL DISTRITO FEDERAL
E1151,"JEFE DE ENSEÑANZA, FOR.EO"
E1160,"PROFESOR DE ADIESTRAMIENTO, EN EL DISTRITO FEDERAL."
E1161,"PROFESOR DE ADIESTRAMIENTO, FORANEO"
E1162,PROFESOR DE MATERIAS PROFESIONALES DE NORMAL DE PRIMARIA URB
E1163,PROFESOR DE MATERIAS PROFESIONALES DE NORMAL DE PRIMARIA URB
E1202,"JEFE DE ZONA DE INSPECCION EN LA REPUBLICA, CON RADICACION E"
E1221,DIRECTOR GENERAL DE EDUCACION FEDERAL
E1303,"INSPECTOR DE MISIONES CULTURALES, MAESTRO NORMALISTA URBANO"
E1305,"JEFE DE MISION CULTURAL, MAESTRO NORMALISTA URBANO TITULADO"
E1331,MAESTRO 'A' DE MISION CULTURAL
E1333,MAESTRO 'B' DE MISION CULTURAL
E1335,MAESTRO 'C' DE MISION CULTURAL
